0 66,67 e1000 e1001 0.043955362034877425
1 67,68 e1001 e1002 0.03786417859342218
2 68,69 e1002 e1003 0.04284691120106563
3 69,70 e1003 e1004 0.043888864328160596
4 70,71 e1004 e1005 0.04862597024770053
5 66,72 e1000 e1006 0.12522443056522625
6 72,73 e1006 e1007 0.04538411820630599
7 73,77 e1007 e10011 0.11479927564346465
8 73,74 e1007 e1008 0.0
9 74,69 e1008 e1003 0.1242011760103082
10 74,75 e1008 e1009 0.16908456172627725
11 76,77 e10010 e10011 0.04646458488175189
12 77,78 e10011 e10012 0.17074701670329123
13 76,71 e10010 e1005 0.28799619468444615
14 81,82 e10015 e10016 0.04281953764099123
15 79,80 e10013 e10014 0.04998709600799067
16 79,83 e10013 e10017 0.10063066677969945
17 83,84 e10017 e10018 0.056881577773126586
18 84,80 e10018 e10014 0.10171206212848123
19 73,77 e1007 e10011 0.11479927564346465
20 82,80 e10016 e10014 0.05247412069793141
21 83,85 e10017 e10019 0.09309964640293696
22 84,87 e10018 e10021 0.13756484800319993
23 87,88 e10021 e10022 0.046168268044499444
24 88,89 e10022 e10023 0.03729169253082642
25 88,86 e10022 e10020 0.044662211034794445
26 86,85 e10020 e10019 0.19529620316245175
27 71,91 e1005 e10025 0.01948606327502101
28 91,75 e10025 e1009 0.05653923014923554
29 75,109 e1009 e10043 0.07175563297872385
30 109,78 e10043 e10012 0.04222622192112924
31 78,104 e10012 e10038 0.15627291253888792
32 104,105 e10038 e10039 0.08452024532609205
33 105,89 e10039 e10023 0.03976496007906899
34 89,106 e10023 e10040 0.05380521686021791
35 90,105 e10024 e10039 0.17331822772257635
36 91,92 e10025 e10026 0.2308305462133302
37 92,96 e10026 e10030 0.11374988823789961
38 96,94 e10030 e10028 0.10981471952762556
39 94,93 e10028 e10027 0.042868437778559185
40 93,109 e10027 e10043 0.07642773440432574
41 94,95 e10028 e10029 0.08913696147935254
42 95,97 e10029 e10031 0.08376087285808169
43 97,96 e10031 e10030 0.07878463709731555
44 97,99 e10031 e10033 0.15927617814973152
45 99,98 e10033 e10032 0.07334049133032017
46 98,101 e10032 e10035 0.04244513450306259
47 101,100 e10035 e10034 0.06366043616506303
48 100,102 e10034 e10036 0.0827577689784156
49 102,107 e10036 e10041 0.0306046988199644
50 103,98 e10037 e10032 0.037306937392011796
51 104,100 e10038 e10034 0.08665917074555152
52 107,103 e10041 e10037 0.031665285063127845
53 107,108 e10041 e10042 0.0905676589161499
54 108,106 e10042 e10040 0.11821434432655456
55 1,2 e1 e2 0.04347289669646505
56 1,3 e1 e3 0.028825038116135574
57 1,5 e1 e5 0.07062253375312863
58 3,4 e3 e4 0.07151901076313227
59 4,5 e4 e5 0.02393363941251114
60 4,6 e4 e6 0.17605484115977757
61 4,7 e4 e7 0.07736721531618625
62 7,8 e7 e8 0.07591165433208805
63 8,9 e8 e9 0.1392751426194105
64 9,10 e9 e10 0.0006955440771608219
65 2,13 e2 e13 0.23068164818247128
66 13,14 e13 e14 0.04959525813694347
67 11,14 e11 e14 0.04490033523609094
68 11,12 e11 e12 0.09132965704316359
69 14,15 e14 e15 0.10047489962029295
70 7,12 e7 e12 0.07477770526041966
71 12,15 e12 e15 0.050901088122580374
72 15,16 e15 e16 0.07683725664059556
73 16,17 e16 e17 0.06295731413722018
74 9,17 e9 e17 0.10575460954009408
75 17,18 e17 e18 0.07170912740900666
76 10,18 e10 e18 0.07669548171472312
77 14,19 e14 e19 0.1245257020840071
78 15,20 e15 e20 0.13961558439334
79 19,20 e19 e20 0.08917569304646518
80 16,21 e16 e21 0.06679867211756767
81 17,22 e17 e22 0.08086617482951818
82 21,22 e21 e22 0.08094950640688423
83 18,23 e18 e23 0.08917415997600182
84 22,23 e22 e23 0.09752740048206711
85 21,27 e21 e27 0.08815368025319134
86 20,27 e20 e27 0.08372337924124323
87 24,27 e24 e27 0.03530921998320011
88 24,25 e24 e25 0.0917283050707594
89 22,25 e22 e25 0.1422488655138742
90 25,26 e25 e26 0.07356724827348436
91 23,26 e23 e26 0.19449911659370556
92 24,28 e24 e28 0.06691652236466256
93 19,29 e19 e29 0.20159432796445334
94 28,31 e28 e31 0.15540632065405788
95 29,30 e29 e30 0.05290055444483074
96 30,31 e30 e31 0.06562616520133602
97 31,32 e31 e32 0.06455477556801856
98 32,33 e32 e33 0.07888174825386025
99 26,33 e26 e33 0.2363342554987022
100 30,34 e30 e34 0.12749799879564588
101 32,36 e32 e36 0.08627444435072275
102 33,37 e33 e37 0.0868640179640956
103 36,37 e36 e37 0.07664403185179092
104 35,36 e35 e36 0.04238025412925321
105 34,35 e34 e35 0.1315701884366414
106 37,38 e37 e38 0.14797200025204407
107 35,39 e35 e39 0.10913131867855204
108 38,39 e38 e39 0.07261947533786223
109 39,40 e39 e40 0.06786487870761454
110 40,41 e40 e41 0.061057748985091864
111 34,41 e34 e41 0.1061065598001104
112 2,42 e2 e42 0.1957692576564305
113 13,43 e13 e43 0.20303368110378675
114 29,45 e29 e45 0.2053265134574455
115 45,46 e45 e46 0.14511031833588664
116 44,45 e44 e45 0.058843548524900285
117 43,47 e43 e47 0.08988916735892014
118 44,47 e44 e47 0.12860950145973346
119 42,43 e42 e43 0.24220850985914286
120 43,48 e43 e48 0.08630228684382549
121 47,49 e47 e49 0.08744108741091357
122 44,50 e44 e50 0.08914657228084107
123 42,56 e42 e56 0.2631514880270269
124 48,49 e48 e49 0.08757343781780955
125 49,50 e49 e50 0.10745318193371052
126 50,51 e50 e51 0.2311909266168162
127 48,53 e48 e53 0.15813842525856123
